Date,Gear,Shaft,Bearing
1990-01-01,158,225,90
1990-01-02,158,242,115
1990-01-03,161,233,113
1990-01-04,145,244,110
1990-01-05,142,219,95
1990-01-06,149,218,96
1990-01-07,158,217,86
1990-01-08,143,217,109
1990-01-09,152,232,95
1990-01-10,163,232,89
1990-01-11,148,239,90
1990-01-12,170,220,98
1990-01-13,157,244,96
1990-01-14,171,240,114
1990-01-15,167,243,111
1990-01-16,163,213,96
1990-01-17,155,227,115
1990-01-18,154,243,94
1990-01-19,181,229,104
1990-01-20,170,218,95
1990-01-21,155,242,103
1990-01-22,166,236,100
1990-01-23,165,231,114
1990-01-24,170,223,96
1990-01-25,174,214,94
1990-01-26,167,229,89
1990-01-27,185,227,105
1990-01-28,176,228,112
1990-01-29,185,213,101
1990-01-30,177,225,110
1990-01-31,166,224,114
1990-02-01,183,239,111
1990-02-02,181,232,85
1990-02-03,174,240,99
1990-02-04,184,218,100
1990-02-05,165,225,99
1990-02-06,184,210,97
1990-02-07,192,216,93
1990-02-08,180,214,91
1990-02-09,177,210,110
1990-02-10,175,236,102
1990-02-11,172,215,110
1990-02-12,178,225,102
1990-02-13,192,225,85
1990-02-14,199,210,85
1990-02-15,178,206,101
1990-02-16,197,235,88
1990-02-17,190,225,93
1990-02-18,174,210,93
1990-02-19,200,232,99
1990-02-20,201,229,116
1990-02-21,192,221,102
1990-02-22,186,222,92
1990-02-23,180,233,87
1990-02-24,182,217,102
1990-02-25,187,203,101
1990-02-26,177,230,90
1990-02-27,204,210,116
1990-02-28,194,222,110
1990-03-01,184,219,116
1990-03-02,185,213,95
1990-03-03,185,225,109
1990-03-04,185,199,111
1990-03-05,181,225,90
1990-03-06,196,216,99
1990-03-07,192,200,99
1990-03-08,203,202,96
1990-03-09,196,217,90
1990-03-10,188,201,94
1990-03-11,191,206,106
1990-03-12,190,220,86
1990-03-13,211,203,106
1990-03-14,211,224,90
1990-03-15,205,209,100
1990-03-16,186,203,87
1990-03-17,193,203,90
1990-03-18,203,209,91
1990-03-19,199,194,103
1990-03-20,187,218,111
1990-03-21,189,195,108
1990-03-22,198,220,101
1990-03-23,208,211,115
1990-03-24,194,219,104
1990-03-25,207,195,93
1990-03-26,189,188,102
1990-03-27,195,217,101
1990-03-28,211,208,95
1990-03-29,207,187,91
1990-03-30,213,216,110
1990-03-31,193,203,86
1990-04-01,212,187,113
1990-04-02,196,206,116
1990-04-03,189,188,107
1990-04-04,200,208,115
1990-04-05,185,185,101
1990-04-06,206,202,100
1990-04-07,201,201,88
1990-04-08,186,190,115
1990-04-09,192,206,104
1990-04-10,200,206,110
1990-04-11,185,188,114
1990-04-12,190,195,117
1990-04-13,185,193,109
1990-04-14,185,181,99
1990-04-15,187,200,113
1990-04-16,194,208,100
1990-04-17,207,197,94
1990-04-18,184,181,100
1990-04-19,202,203,114
1990-04-20,203,191,87
1990-04-21,200,177,93
1990-04-22,183,188,98
1990-04-23,202,189,108
1990-04-24,207,195,98
1990-04-25,198,202,112
1990-04-26,206,188,115
1990-04-27,198,190,111
1990-04-28,191,202,97
1990-04-29,195,183,108
1990-04-30,198,171,111
1990-05-01,186,197,96
1990-05-02,200,181,97
1990-05-03,202,187,108
1990-05-04,187,189,89
1990-05-05,192,196,96
1990-05-06,206,197,89
1990-05-07,192,182,116
1990-05-08,187,196,110
1990-05-09,190,193,112
